lane	extract	n	Bee_ID
4	10	1	AR1614
4	10	2	AR0103
4	10	3	AR2012
4	10	4	AR2213
4	10	5	AR1301
4	10	6	CA0810
4	10	7	AR0915
4	10	8	AR1017
4	10	9	AR1311
4	10	10	CA1419
4	10	11	CA1307
4	10	12	AR2019
4	10	13	AR1107
4	10	14	CA0222
4	10	15	AR0315
4	10	16	AR0815
4	10	17	AR2302
4	10	18	AR0306
4	10	19	CA0918
4	10	20	AR0611
4	10	21	AR0101
4	10	22	AR1210
4	10	23	CA0329
4	10	24	AR2909
