lane	extract	n	Bee_ID
4	11	1	CA1213
4	11	2	AR2503
4	11	3	CA0413
4	11	4	CA1111
4	11	5	AR1212
4	11	6	AR0507
4	11	7	AR0613
4	11	8	CA0529
4	11	9	AR1510
4	11	10	AR1609
4	11	11	AR1012
4	11	12	CA0119
4	11	13	AR1409
4	11	14	AR2609
4	11	15	CA1004
4	11	16	CA0524
4	11	17	CA0226
4	11	18	CA1209
5	11	19	AR0813
5	11	20	AR0603
5	11	21	AR2311
5	11	22	AR1401
5	11	23	AR2716
5	11	24	AR1902
