lane	extract	n	Bee_ID
3	9	1	CA0512
3	9	2	AR2513
3	9	3	CA1317
3	9	4	AR1005
3	9	5	AR2901
3	9	6	AR1306
3	9	7	AR2203
3	9	8	CA0822
3	9	9	AR1601
3	9	10	CA0505
3	9	11	AR0605
3	9	12	CA1406
4	9	13	AR1913
4	9	14	CA0317
4	9	15	CA0910
4	9	16	AR1513
4	9	17	AR2509
4	9	18	AR2701
4	9	19	CA1012
4	9	20	AR2706
4	9	21	AR2315
4	9	22	AR0802
4	9	23	CA1414
4	9	24	AR2903
