lane	extract	n	Bee_ID
5	13	1	CA1005
5	13	2	AR0513
5	13	3	AR2615
5	13	4	CA0819
5	13	5	CA0411
5	13	6	AR1606
5	13	7	AR1008
5	13	8	AR2209
5	13	9	CA1319
5	13	10	AR0901
5	13	11	AR2005
5	13	12	AR1518
5	13	13	CA1408
5	13	14	AR1508
5	13	15	AR1407
5	13	16	AR2713
5	13	17	CA0217
5	13	18	AR2907
5	13	19	AR1019
5	13	20	AR1106
5	13	21	CA0225
5	13	22	AR0309
5	13	23	AR2904
5	13	24	CA0519
