lane	extract	n	Bee_ID
2	7	1	AR0515
2	7	2	CA0825
2	7	3	AR1613
2	7	4	AR1007
2	7	5	AR1413
2	7	6	AR2905
3	7	7	CA1020
3	7	8	CA0126
3	7	9	AR0510
3	7	10	AR0904
3	7	11	CA0416
3	7	12	CA1010
3	7	13	AR1302
3	7	14	CA1103
3	7	15	AR1006
3	7	16	AR0504
3	7	17	CA0230
3	7	18	AR2601
3	7	19	AR2016
3	7	20	AR2215
3	7	21	AR2007
3	7	22	CA0306
3	7	23	AR2915
3	7	24	AR1101
