lane	extract	n	Bee_ID
5	12	1	AR2608
5	12	2	AR0907
5	12	3	CA0427
5	12	4	CA0128
5	12	5	AR1208
5	12	6	AR2008
5	12	7	AR1906
5	12	8	CA0912
5	12	9	AR0111
5	12	10	AR0509
5	12	11	CA1305
5	12	12	CA0325
5	12	13	CA1122
5	12	14	AR1218
5	12	15	AR2511
5	12	16	AR1305
5	12	17	CA1218
5	12	18	CA1115
5	12	19	CA1416
5	12	20	AR2317
5	12	21	CA0522
5	12	22	AR0606
5	12	23	AR0108
5	12	24	CA0904
