lane	extract	n	Bee_ID
2	6	1	AR1205
2	6	2	CA1002
2	6	3	AR2611
2	6	4	AR1113
2	6	5	AR0113
2	6	6	CA0321
2	6	7	CA0423
2	6	8	AR2314
2	6	9	AR0809
2	6	10	AR2313
2	6	11	CA0527
2	6	12	AR1214
2	6	13	CA1118
2	6	14	CA0121
2	6	15	AR2206
2	6	16	CA1216
2	6	17	AR1604
2	6	18	AR0903
2	6	19	CA0919
2	6	20	AR0506
2	6	21	CA0124
2	6	22	AR1112
2	6	23	AR0308
2	6	24	CA1417
