lane	extract	n	Bee_ID
3	8	1	AR2303
3	8	2	AR0105
3	8	3	AR2504
3	8	4	AR0110
3	8	5	AR1109
3	8	6	AR0312
3	8	7	AR2613
3	8	8	CA0112
3	8	9	AR1215
3	8	10	AR1406
3	8	11	AR1905
3	8	12	AR0305
3	8	13	CA0813
3	8	14	CA0330
3	8	15	AR0818
3	8	16	CA1201
3	8	17	AR0811
3	8	18	CA1302
3	8	19	AR1503
3	8	20	AR2703
3	8	21	CA0902
3	8	22	CA1215
3	8	23	AR1409
3	8	24	AR1605
