BioSample	Experiment	LoadDate	MBases	MBytes	Organism	Run	SRA_Sample	Sample_Name	geo_loc_name	label	sex	strain	Assay_Type	AvgSpotLen	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Platform	ReleaseDate	SRA_Study
SAMN02596323	SRX457275	2014-01-31	316	201	Apis mellifera	SRR1152374	SRS549663	Amsyr_JOR16_20111007	Jordan	JOR16	female	A. m. syriaca	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596323	SRX457275	2014-01-31	307	197	Apis mellifera	SRR1152375	SRS549663	Amsyr_JOR16_20111007	Jordan	JOR16	female	A. m. syriaca	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596323	SRX457275	2014-01-31	319	206	Apis mellifera	SRR1152376	SRS549663	Amsyr_JOR16_20111007	Jordan	JOR16	female	A. m. syriaca	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596324	SRX457276	2014-01-31	249	163	Apis mellifera	SRR1152377	SRS549664	Amsyr_JOR17_20111007	Jordan	JOR17	female	A. m. syriaca	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596324	SRX457276	2014-01-31	302	192	Apis mellifera	SRR1152378	SRS549664	Amsyr_JOR17_20111007	Jordan	JOR17	female	A. m. syriaca	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596324	SRX457276	2014-01-31	312	201	Apis mellifera	SRR1152379	SRS549664	Amsyr_JOR17_20111007	Jordan	JOR17	female	A. m. syriaca	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596324	SRX457276	2014-01-31	301	190	Apis mellifera	SRR1152380	SRS549664	Amsyr_JOR17_20111007	Jordan	JOR17	female	A. m. syriaca	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596324	SRX457276	2014-01-31	279	178	Apis mellifera	SRR1152381	SRS549664	Amsyr_JOR17_20111007	Jordan	JOR17	female	A. m. syriaca	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596324	SRX457276	2014-01-31	299	192	Apis mellifera	SRR1152382	SRS549664	Amsyr_JOR17_20111007	Jordan	JOR17	female	A. m. syriaca	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596325	SRX457277	2014-01-31	389	255	Apis mellifera	SRR1152383	SRS549665	Amsyr_JOR18_20111007	Jordan	JOR18	female	A. m. syriaca	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596325	SRX457277	2014-01-31	418	266	Apis mellifera	SRR1152384	SRS549665	Amsyr_JOR18_20111007	Jordan	JOR18	female	A. m. syriaca	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596325	SRX457277	2014-01-31	429	277	Apis mellifera	SRR1152385	SRS549665	Amsyr_JOR18_20111007	Jordan	JOR18	female	A. m. syriaca	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596325	SRX457277	2014-01-31	416	262	Apis mellifera	SRR1152386	SRS549665	Amsyr_JOR18_20111007	Jordan	JOR18	female	A. m. syriaca	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596325	SRX457277	2014-01-31	394	251	Apis mellifera	SRR1152387	SRS549665	Amsyr_JOR18_20111007	Jordan	JOR18	female	A. m. syriaca	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596325	SRX457277	2014-01-31	417	267	Apis mellifera	SRR1152388	SRS549665	Amsyr_JOR18_20111007	Jordan	JOR18	female	A. m. syriaca	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596326	SRX457278	2014-01-31	400	264	Apis mellifera	SRR1152389	SRS549666	Amsyr_JOR19_20111007	Jordan	JOR19	female	A. m. syriaca	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596326	SRX457278	2014-01-31	425	272	Apis mellifera	SRR1152390	SRS549666	Amsyr_JOR19_20111007	Jordan	JOR19	female	A. m. syriaca	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596326	SRX457278	2014-01-31	439	286	Apis mellifera	SRR1152391	SRS549666	Amsyr_JOR19_20111007	Jordan	JOR19	female	A. m. syriaca	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596326	SRX457278	2014-01-31	420	266	Apis mellifera	SRR1152392	SRS549666	Amsyr_JOR19_20111007	Jordan	JOR19	female	A. m. syriaca	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596326	SRX457278	2014-01-31	403	258	Apis mellifera	SRR1152393	SRS549666	Amsyr_JOR19_20111007	Jordan	JOR19	female	A. m. syriaca	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596326	SRX457278	2014-01-31	425	274	Apis mellifera	SRR1152394	SRS549666	Amsyr_JOR19_20111007	Jordan	JOR19	female	A. m. syriaca	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596327	SRX457279	2014-01-31	505	332	Apis mellifera	SRR1152395	SRS549667	Amsyr_JOR16B_20111102	Jordan	JOR16B	female	A. m. syriaca	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596327	SRX457279	2014-01-31	524	335	Apis mellifera	SRR1152396	SRS549667	Amsyr_JOR16B_20111102	Jordan	JOR16B	female	A. m. syriaca	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596327	SRX457279	2014-01-31	556	361	Apis mellifera	SRR1152397	SRS549667	Amsyr_JOR16B_20111102	Jordan	JOR16B	female	A. m. syriaca	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596327	SRX457279	2014-01-31	523	331	Apis mellifera	SRR1152398	SRS549667	Amsyr_JOR16B_20111102	Jordan	JOR16B	female	A. m. syriaca	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596327	SRX457279	2014-01-31	497	317	Apis mellifera	SRR1152399	SRS549667	Amsyr_JOR16B_20111102	Jordan	JOR16B	female	A. m. syriaca	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596327	SRX457279	2014-01-31	533	342	Apis mellifera	SRR1152400	SRS549667	Amsyr_JOR16B_20111102	Jordan	JOR16B	female	A. m. syriaca	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596328	SRX457280	2014-01-31	300	186	Apis mellifera	SRR1152401	SRS549668	Ammel_1_20111003	Norway	1	female	A. m. mellifera	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596328	SRX457280	2014-01-31	278	169	Apis mellifera	SRR1152402	SRS549668	Ammel_1_20111003	Norway	1	female	A. m. mellifera	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596328	SRX457280	2014-01-31	290	175	Apis mellifera	SRR1152403	SRS549668	Ammel_1_20111003	Norway	1	female	A. m. mellifera	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596328	SRX457280	2014-01-31	221	133	Apis mellifera	SRR1152404	SRS549668	Ammel_1_20111003	Norway	1	female	A. m. mellifera	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596328	SRX457280	2014-01-31	291	177	Apis mellifera	SRR1152405	SRS549668	Ammel_1_20111003	Norway	1	female	A. m. mellifera	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596328	SRX457280	2014-01-31	268	167	Apis mellifera	SRR1152406	SRS549668	Ammel_1_20111003	Norway	1	female	A. m. mellifera	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596329	SRX457281	2014-01-31	284	175	Apis mellifera	SRR1152407	SRS549669	Ammel_2_20111003	Norway	2	female	A. m. mellifera	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596329	SRX457281	2014-01-31	252	153	Apis mellifera	SRR1152408	SRS549669	Ammel_2_20111003	Norway	2	female	A. m. mellifera	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596329	SRX457281	2014-01-31	269	161	Apis mellifera	SRR1152409	SRS549669	Ammel_2_20111003	Norway	2	female	A. m. mellifera	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596329	SRX457281	2014-01-31	203	121	Apis mellifera	SRR1152410	SRS549669	Ammel_2_20111003	Norway	2	female	A. m. mellifera	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596329	SRX457281	2014-01-31	272	165	Apis mellifera	SRR1152411	SRS549669	Ammel_2_20111003	Norway	2	female	A. m. mellifera	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596329	SRX457281	2014-01-31	248	154	Apis mellifera	SRR1152412	SRS549669	Ammel_2_20111003	Norway	2	female	A. m. mellifera	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596330	SRX457282	2014-01-31	342	212	Apis mellifera	SRR1152413	SRS549670	Ammel_4_20111003	Norway	4	female	A. m. mellifera	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596330	SRX457282	2014-01-31	304	184	Apis mellifera	SRR1152414	SRS549670	Ammel_4_20111003	Norway	4	female	A. m. mellifera	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596330	SRX457282	2014-01-31	326	196	Apis mellifera	SRR1152415	SRS549670	Ammel_4_20111003	Norway	4	female	A. m. mellifera	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596330	SRX457282	2014-01-31	245	146	Apis mellifera	SRR1152416	SRS549670	Ammel_4_20111003	Norway	4	female	A. m. mellifera	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596330	SRX457282	2014-01-31	329	200	Apis mellifera	SRR1152417	SRS549670	Ammel_4_20111003	Norway	4	female	A. m. mellifera	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596330	SRX457282	2014-01-31	295	183	Apis mellifera	SRR1152418	SRS549670	Ammel_4_20111003	Norway	4	female	A. m. mellifera	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596331	SRX457283	2014-01-31	163	101	Apis mellifera	SRR1152419	SRS549671	Ammel_6_20111003	Norway	6	female	A. m. mellifera	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596331	SRX457283	2014-01-31	154	93	Apis mellifera	SRR1152420	SRS549671	Ammel_6_20111003	Norway	6	female	A. m. mellifera	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596331	SRX457283	2014-01-31	158	95	Apis mellifera	SRR1152421	SRS549671	Ammel_6_20111003	Norway	6	female	A. m. mellifera	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596331	SRX457283	2014-01-31	120	71	Apis mellifera	SRR1152422	SRS549671	Ammel_6_20111003	Norway	6	female	A. m. mellifera	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596331	SRX457283	2014-01-31	161	98	Apis mellifera	SRR1152423	SRS549671	Ammel_6_20111003	Norway	6	female	A. m. mellifera	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596331	SRX457283	2014-01-31	152	94	Apis mellifera	SRR1152424	SRS549671	Ammel_6_20111003	Norway	6	female	A. m. mellifera	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596332	SRX457284	2014-01-31	462	285	Apis mellifera	SRR1152425	SRS549672	Ammel_7_20111003	Norway	7	female	A. m. mellifera	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596332	SRX457284	2014-01-31	412	249	Apis mellifera	SRR1152426	SRS549672	Ammel_7_20111003	Norway	7	female	A. m. mellifera	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596332	SRX457284	2014-01-31	435	262	Apis mellifera	SRR1152427	SRS549672	Ammel_7_20111003	Norway	7	female	A. m. mellifera	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596332	SRX457284	2014-01-31	328	195	Apis mellifera	SRR1152428	SRS549672	Ammel_7_20111003	Norway	7	female	A. m. mellifera	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596332	SRX457284	2014-01-31	443	270	Apis mellifera	SRR1152429	SRS549672	Ammel_7_20111003	Norway	7	female	A. m. mellifera	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596332	SRX457284	2014-01-31	398	246	Apis mellifera	SRR1152430	SRS549672	Ammel_7_20111003	Norway	7	female	A. m. mellifera	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596333	SRX457285	2014-01-31	203	127	Apis mellifera	SRR1152431	SRS549673	Ammel_9_20111003	Norway	9	female	A. m. mellifera	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596333	SRX457285	2014-01-31	187	114	Apis mellifera	SRR1152432	SRS549673	Ammel_9_20111003	Norway	9	female	A. m. mellifera	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596333	SRX457285	2014-01-31	197	120	Apis mellifera	SRR1152433	SRS549673	Ammel_9_20111003	Norway	9	female	A. m. mellifera	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596333	SRX457285	2014-01-31	148	89	Apis mellifera	SRR1152434	SRS549673	Ammel_9_20111003	Norway	9	female	A. m. mellifera	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596333	SRX457285	2014-01-31	198	122	Apis mellifera	SRR1152435	SRS549673	Ammel_9_20111003	Norway	9	female	A. m. mellifera	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596333	SRX457285	2014-01-31	182	113	Apis mellifera	SRR1152436	SRS549673	Ammel_9_20111003	Norway	9	female	A. m. mellifera	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596334	SRX457286	2014-01-31	212	132	Apis mellifera	SRR1152437	SRS549674	Ammel_10_20111003	Norway	10	female	A. m. mellifera	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596334	SRX457286	2014-01-31	194	118	Apis mellifera	SRR1152438	SRS549674	Ammel_10_20111003	Norway	10	female	A. m. mellifera	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596334	SRX457286	2014-01-31	204	124	Apis mellifera	SRR1152439	SRS549674	Ammel_10_20111003	Norway	10	female	A. m. mellifera	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596334	SRX457286	2014-01-31	152	91	Apis mellifera	SRR1152440	SRS549674	Ammel_10_20111003	Norway	10	female	A. m. mellifera	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596334	SRX457286	2014-01-31	207	126	Apis mellifera	SRR1152441	SRS549674	Ammel_10_20111003	Norway	10	female	A. m. mellifera	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596334	SRX457286	2014-01-31	192	119	Apis mellifera	SRR1152442	SRS549674	Ammel_10_20111003	Norway	10	female	A. m. mellifera	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596335	SRX457287	2014-01-31	304	187	Apis mellifera	SRR1152443	SRS549675	Ammel_12_20111003	Norway	12	female	A. m. mellifera	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596335	SRX457287	2014-01-31	284	171	Apis mellifera	SRR1152444	SRS549675	Ammel_12_20111003	Norway	12	female	A. m. mellifera	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596335	SRX457287	2014-01-31	294	176	Apis mellifera	SRR1152445	SRS549675	Ammel_12_20111003	Norway	12	female	A. m. mellifera	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596335	SRX457287	2014-01-31	223	133	Apis mellifera	SRR1152446	SRS549675	Ammel_12_20111003	Norway	12	female	A. m. mellifera	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596335	SRX457287	2014-01-31	301	182	Apis mellifera	SRR1152447	SRS549675	Ammel_12_20111003	Norway	12	female	A. m. mellifera	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596335	SRX457287	2014-01-31	283	174	Apis mellifera	SRR1152448	SRS549675	Ammel_12_20111003	Norway	12	female	A. m. mellifera	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596336	SRX457288	2014-01-31	1910	1443	Apis mellifera	SRR1152449	SRS549676	Ammel_14_20111003	Norway	14	female	A. m. mellifera	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596336	SRX457288	2014-01-31	203	126	Apis mellifera	SRR1152450	SRS549676	Ammel_14_20111003	Norway	14	female	A. m. mellifera	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
SAMN02596336	SRX457288	2014-01-31	186	113	Apis mellifera	SRR1152451	SRS549676	Ammel_14_20111003	Norway	14	female	A. m. mellifera	WGS	75	PRJNA236426	UPPSALA UNIVERSITY	public	sra	ncbi	0	AB 5500xl Genetic Analyzer	SINGLE	RANDOM	GENOMIC	ABI_SOLID	2014-07-23	SRP036072
