Bee_ID,lat,long,popN,indN,Date,Time,toSequence,toWing,enjambre
MX1001,23.0805555555556,-109.662777777778,10,01,2/23/19,NA,TRUE,TRUE,NA
MX1002,23.0805555555556,-109.662777777778,10,02,2/23/19,NA,TRUE,TRUE,NA
MX1003,23.1277777777778,-109.543611111111,10,03,2/23/19,NA,TRUE,TRUE,NA
MX1004,23.1277777777778,-109.543611111111,10,04,2/23/19,NA,TRUE,TRUE,NA
MX1005,23.0738888888889,-109.627777777778,10,05,2/23/19,NA,TRUE,TRUE,NA
MX1006,23.0738888888889,-109.627777777778,10,06,2/23/19,NA,TRUE,TRUE,NA
MX1007,22.9693888888889,-109.788138888889,10,07,2/23/19,NA,TRUE,TRUE,NA
MX1008,22.9693888888889,-109.788138888889,10,08,2/23/19,NA,TRUE,TRUE,NA
