BioSample_s	Experiment_s	LoadDate_s	MBases_l	MBytes_l	Organism_s	Run_s	SRA_Sample_s	Sample_Name_s	geographic_location_s	label_s	strain_s	Assay_Type_s	AvgSpotLen_l	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Platform_s	ReleaseDate_s	SRA_Study_s	sex_s
SAMN02324165	SRX339513	2013-09-12	10307	7749	Apis mellifera	SRR957084	SRS473233	C199	Baric Draga, Croatia	C199	Apis mellifera carnica	WGS	50	PRJNA216922	YORK UNIVERSITY	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	ILLUMINA	2014-02-05	SRP029219	female
SAMN02324166	SRX339514	2013-08-29	9032	5898	Apis mellifera	SRR957085	SRS473234	C200	Sugarje, Croatia	C200	Apis mellifera carnica	WGS	50	PRJNA216922	YORK UNIVERSITY	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	ILLUMINA	2014-02-05	SRP029219	female
SAMN02324167	SRX339515	2013-08-28	9069	6492	Apis mellifera	SRR957086	SRS473235	C235	Slovenia	C235	Apis mellifera carnica	WGS	50	PRJNA216922	YORK UNIVERSITY	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	ILLUMINA	2014-02-05	SRP029219	female
SAMN02324168	SRX339516	2013-08-29	9337	6223	Apis mellifera	SRR957087	SRS473236	C236	Slovenia	C236	Apis mellifera carnica	WGS	50	PRJNA216922	YORK UNIVERSITY	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	ILLUMINA	2014-02-05	SRP029219	female
SAMN02324169	SRX339517	2013-08-28	9339	6700	Apis mellifera	SRR957088	SRS473237	C273	Slovenia	C273	Apis mellifera carnica	WGS	50	PRJNA216922	YORK UNIVERSITY	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	ILLUMINA	2014-02-05	SRP029219	female
SAMN02324170	SRX339518	2013-08-28	9747	7217	Apis mellifera	SRR957089	SRS473238	M207	Zalewo, Poland	M207	Apis mellifera mellifera	WGS	50	PRJNA216922	YORK UNIVERSITY	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	ILLUMINA	2014-02-05	SRP029219	female
SAMN02324171	SRX339519	2013-08-28	9926	7270	Apis mellifera	SRR957090	SRS473239	M217	Rudawka, Poland	M217	Apis mellifera mellifera	WGS	50	PRJNA216922	YORK UNIVERSITY	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	ILLUMINA	2014-02-05	SRP029219	female
SAMN02324193	SRX339520	2013-08-28	9366	6493	Apis mellifera	SRR957091	SRS473240	S286	NW. Cape, South Africa	S286	Apis mellifera scutellata	WGS	50	PRJNA216922	YORK UNIVERSITY	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	ILLUMINA	2014-02-05	SRP029219	female
SAMN02324194	SRX339521	2013-08-28	9304	6483	Apis mellifera	SRR957092	SRS473241	S290	West Cape, South Africa	S290	Apis mellifera scutellata	WGS	50	PRJNA216922	YORK UNIVERSITY	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	ILLUMINA	2014-02-05	SRP029219	female
SAMN02324195	SRX339522	2013-08-28	8957	6441	Apis mellifera	SRR957093	SRS473242	S296	Freestate, South Africa	S296	Apis mellifera scutellata	WGS	50	PRJNA216922	YORK UNIVERSITY	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	ILLUMINA	2014-02-05	SRP029219	female
SAMN02324196	SRX339523	2013-09-12	9122	6337	Apis mellifera	SRR957094	SRS473243	S299	N/NW Cape, South Africa	S299	Apis mellifera scutellata	WGS	50	PRJNA216922	YORK UNIVERSITY	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	ILLUMINA	2014-02-05	SRP029219	female
SAMN02324197	SRX339524	2013-08-28	9336	6679	Apis mellifera	SRR957095	SRS473244	S300	NW. Cape, South Africa	S300	Apis mellifera scutellata	WGS	50	PRJNA216922	YORK UNIVERSITY	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	ILLUMINA	2014-02-05	SRP029219	female
SAMN02324198	SRX339525	2013-08-28	9470	6720	Apis mellifera	SRR957096	SRS473245	S301	East Cape, South Africa	S301	Apis mellifera scutellata	WGS	50	PRJNA216922	YORK UNIVERSITY	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	ILLUMINA	2014-02-05	SRP029219	female
SAMN02324199	SRX339526	2013-08-29	9403	6647	Apis mellifera	SRR957097	SRS473246	S302	East Cape, South Africa	S302	Apis mellifera scutellata	WGS	50	PRJNA216922	YORK UNIVERSITY	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	ILLUMINA	2014-02-05	SRP029219	female
