"Bee_ID"	"Label"	"pixels_per_cm"
"AR1112"	"RW-V-AR1112-05-30-19.JPG"	1440.45
"AR0816"	"RW-V-AR0816-05-30-19.JPG"	1440.312
"AR0603"	"RW-V-AR0603-05-15-19.JPG"	1440.312
"AR0507"	"RW-V-AR0507-05-30-19.JPG"	1436.068
"AR0315"	"RW-V-AR0315-05-01-19.JPG"	1436.068
"CA1103"	"RW-U-CA_1103-10-31-18.JPG"	1420.17
"CA0906"	"RW-U-CA_0906-11-07-18.JPG"	1418.035
"CA0222"	"RW-U-CA_0222-02-15-19.JPG"	1408.818
"AR1303"	"RW-U-AR_1303-03-14-19.JPG"	1440.006
"AR2701"	"RW-U-AR2701-05-15-19.JPG"	1442.05
"AR1012"	"RW-U-AR1012-05-15-19.JPG"	1440.735
"AR0815"	"RW-U-AR0815-05-01-19.JPG"	1430.022
"AR0809"	"RW-U-AR0809-05-30-19.JPG"	1434.503
"AR0113"	"RW-U-AR0113-05-30-19.JPG"	1440.006
"CA1215"	"RW-T-CA_1215-11-28-18.JPG"	1424.17
"CA1213"	"RW-T-CA_1213-11-07-18.JPG"	1422.456
"CA1118"	"RW-T-CA_1118-01-29-19.JPG"	1412.204
"CA0912"	"RW-T-CA_0912-01-29-19.JPG"	1414.318
"AR2704"	"RW-T-AR_2704-03-14-19.JPG"	1526.473
"AR2202"	"RW-T-AR_2202-05-01-19.JPG"	1432.035
"AR1201"	"RW-T-AR_1201-03-14-19.JPG"	1442.05
"AR0617"	"RW-T-AR_0617-03-14-19.JPG"	1442
"AR2706"	"RW-T-AR2706-05-15-19.JPG"	1446.006
"AR2213"	"RW-T-AR2213-05-01-19.JPG"	1434.05
"AR2206"	"RW-T-AR2206-05-30-19.JPG"	1434.006
"AR1908"	"RW-T-AR1908-05-30-19.JPG"	1438.556
"AR1006"	"RW-T-AR1006-05-30-19.JPG"	1436.557
"CA1315"	"RW-S-CA_1315-01-29-19.JPG"	1404.689
"CA0822"	"RW-S-CA_0822-02-15-19.JPG"	1408.091
"CA0128"	"RW-S-CA_0128-02-15-19.JPG"	1412.409
"CA0108"	"RW-S-CA0108-05-01-19.JPG"	1428.022
"AR2615"	"RW-S-AR2615-05-30-19.JPG"	1436.139
"AR2315"	"RW-S-AR2315-05-15-19.JPG"	1437.705
"AR1208"	"RW-S-AR1208-05-15-19.JPG"	1440.312
"AR0818"	"RW-S-AR0818-05-01-19.JPG"	1428.741
"AR0515"	"RW-S-AR0515-05-30-19.JPG"	1436.089
"AR0506"	"RW-S-AR0506-05-30-19.JPG"	1432.559
"CA1402"	"RW-R-CA_1402-11-07-18.JPG"	1420.276
"CA1207"	"RW-R-CA_1207-11-07-18.JPG"	1420.001
"CA0902"	"RW-R-CA_0902-10-31-18.JPG"	1424.619
"AR1603"	"RW-R-AR_1603-03-14-19.JPG"	1442.112
"AR1115"	"RW-R-AR_1115-03-14-19.JPG"	1442.022
"AR2912"	"RW-R-AR2912-05-30-19.JPG"	1438.2
"AR2303"	"RW-R-AR2303-05-01-19.JPG"	1428.069
"AR1311"	"RW-R-AR1311-05-01-19.JPG"	1430.74
"AR0308"	"RW-R-AR0308-05-30-19.JPG"	1440.012
"CA0910"	"RW-Q-CA_0910-11-28-18.JPG"	1420.051
"CA0227"	"RW-Q-CA0227-05-30-19.JPG"	1434.035
"AR2905"	"RW-Q-AR2905-05-30-19.JPG"	1442.001
"AR2004"	"RW-Q-AR2004-05-30-19.JPG"	1442.001
"AR1906"	"RW-Q-AR1906-05-15-19.JPG"	1444.234
"AR0915"	"RW-Q-AR0915-05-01-19.JPG"	1430.169
"CA1410"	"RW-H-CA_1410-05-01-19.JPG"	1432.05
"CA1406"	"RW-H-CA_1406-10-31-18.JPG"	1424.17
"CA1309"	"RW-H-CA_1309-11-07-18.JPG"	1422.013
"CA0816"	"RW-H-CA_0816-02-15-19.JPG"	1410.051
"CA1109"	"RW-H-CA1109-05-30-19.JPG"	1440.401
"AR1310"	"RW-H-AR_1310-03-14-19.JPG"	1442
"AR2713"	"RW-H-AR2713-05-15-19.JPG"	1442.022
"AR2504"	"RW-H-AR2504-05-01-19.JPG"	1432.14
"AR1613"	"RW-H-AR1613-05-30-19.JPG"	1438.068
"AR1413"	"RW-H-AR1413-05-30-19.JPG"	1438
"AR1407"	"RW-H-AR1407-05-30-19.JPG"	1436.022
"AR0802"	"RW-H-AR0802-05-15-19.JPG"	1442.035
"CA1307"	"RW-G-CA_1307-10-31-18.JPG"	1415.189
"CA1218"	"RW-G-CA_1218-01-29-19.JPG"	1402.28
"CA1013"	"RW-G-CA_1013-11-28-18.JPG"	1414.051
"CA0825"	"RW-G-CA_0825-02-15-19.JPG"	1402.57
"CA0819"	"RW-G-CA_0819-02-15-19.JPG"	1400.691
"AR2913"	"RW-G-AR_2913-03-14-19.JPG"	1436.139
"AR1915"	"RW-G-AR_1915-03-14-19.JPG"	1438.168
"AR2903"	"RW-G-AR2903-05-15-19.JPG"	1430.236
"AR2609"	"RW-G-AR2609-05-30-19.JPG"	1436.235
"AR2511"	"RW-G-AR2511-05-15-19.JPG"	1430.201
"AR2313"	"RW-G-AR2313-05-30-19.JPG"	1432.089
"AR1509"	"RW-G-AR1509-05-30-19.JPG"	1434.169
"AR1017"	"RW-G-AR1017-05-01-19.JPG"	1420.09
"AR0907"	"RW-G-AR0907-05-30-19.JPG"	1432.089
"AR0110"	"RW-G-AR0110-05-01-19.JPG"	1418.457
"CA0805"	"RW-F-CA_0805-01-22-19.JPG"	1412.685
"CA0512"	"RW-F-CA_0512-02-15-19.JPG"	1410.817
"CA0308"	"RW-F-CA_0308-01-22-19.JPG"	1408.053
"CA1122"	"RW-F-CA1122-05-15-19.JPG"	1440.2
"AR0902"	"RW-F-AR_0902-03-14-19.JPG"	1442.139
"AR2613"	"RW-F-AR2613-05-01-19.JPG"	1430.035
"AR2612"	"RW-F-AR2612-05-30-19.JPG"	1442.401
"AR2611"	"RW-F-AR2611-05-30-19.JPG"	1442.272
"AR2006"	"RW-F-AR2006-05-30-19.JPG"	1438.05
"AR0913"	"RW-F-AR0913-05-30-19.JPG"	1440.272
"AR0813"	"RW-F-AR0813-05-15-19.JPG"	1442.089
"CA1015"	"RW-E-CA1015-05-30-19.JPG"	1436.05
"AR2603"	"RW-E-AR_2603-03-14-19.JPG"	1442.2
"AR2703"	"RW-E-AR2703-05-01-19.JPG"	1425.921
"AR2601"	"RW-E-AR2601-05-30-19.JPG"	1434.139
"AR2016"	"RW-E-AR2016-05-30-19.JPG"	1436.035
"AR1614"	"RW-E-AR1614-05-01-19.JPG"	1429.916
"AR1314"	"RW-E-AR1314-05-30-19.JPG"	1438.022
"AR1306"	"RW-E-AR1306-05-15-19.JPG"	1438.089
"CA1115"	"RW-D-CA_1115-01-29-19.JPG"	1494.086
"CA0502"	"RW-D-CA_0502-11-28-18.JPG"	1512.107
"CA0102"	"RW-D-CA_0102-01-22-19.JPG"	1410.278
"AR2716"	"RW-D-AR2716-05-30-19.JPG"	1528.021
"AR2515"	"RW-D-AR2515-05-30-19.JPG"	1520
"AR2513"	"RW-D-AR2513-01-25-20.JPG"	1050
"AR1905"	"RW-D-AR1905-05-01-19.JPG"	1514.428
"AR1109"	"RW-D-AR1109-05-01-19.JPG"	1512.224
"AR0606"	"RW-D-AR0606-05-15-19.JPG"	1526.064
"CA0919"	"RW-C-CA_0919-01-29-19.JPG"	1492.709
"CA0519"	"RW-C-CA_0519-02-15-19.JPG"	1490.302
"CA0317"	"RW-C-CA_0317-02-15-19.JPG"	1492.162
"CA1209"	"RW-C-CA1209-05-30-19.JPG"	1518.065
"CA0321"	"RW-C-CA0321-01-25-20.JPG"	1050.017
"AR1016"	"RW-C-AR_1016-03-14-19.JPG"	1522.005
"AR2007"	"RW-C-AR2007-01-25-20.JPG"	1048.048
"AR1606"	"RW-C-AR1606-05-30-19.JPG"	1520.033
"AR1601"	"RW-C-AR1601-05-15-19.JPG"	1522.064
"AR1214"	"RW-C-AR1214-01-25-20.JPG"	1048.069
"AR1113"	"RW-C-AR1113-05-30-19.JPG"	1516.047
"AR1103"	"RW-C-AR1103-01-25-20.JPG"	1048.429
"AR1008"	"RW-C-AR1008-05-15-19.JPG"	1524
"AR0513"	"RW-C-AR0513-05-30-19.JPG"	1516.259
"AR0504"	"RW-C-AR0504-01-25-20.JPG"	1050.335
"AR0312"	"RW-C-AR0312-05-01-19.JPG"	1514.19
"AR0111"	"RW-C-AR0111-01-25-20.JPG"	1046.031
"AR0105"	"RW-C-AR0105-05-01-19.JPG"	1510.021
