AvgSpotLen	BioSample	Experiment	Library_Name	MBases	MBytes	Run	SRA_Sample	Sample_Name	breed	collected_by	collection_date	geo_loc_name	identified_by	isolate	isolation_source	sex	Assay_Type	BioProject	BioSampleModel	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	age	host	tissue
100	SAMN06921468	SRX2838958	ap38_rep1	2577	1674	SRR5580801	SRS2212651	ap38	feral	UC Riverside	1983	USA:CA: Riverside Co. San Jacinto Mnt., replicate 1	UC Riverside	worker bee	San Jacinto Mountains	female	WGS	PRJNA385500	Invertebrate	UNIVERSITY OF CALIFORNIA DAVIS	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	2017-05-20	Apis mellifera	ILLUMINA	2018-06-01	SRP107650	adult	not applicable	whole body
100	SAMN06921469	SRX2838959	ap39_rep1	3019	1988	SRR5580800	SRS2212654	ap39	feral	UC Riverside	1983	USA:CA: Riverside Co. San Jacinto Mnt., replicate 2	UC Riverside	worker bee	San Jacinto Mountains	female	WGS	PRJNA385500	Invertebrate	UNIVERSITY OF CALIFORNIA DAVIS	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	2017-05-20	Apis mellifera	ILLUMINA	2018-06-01	SRP107650	adult	not applicable	whole body
100	SAMN06921474	SRX2838960	SRCD51C	2767	2018	SRR5580799	SRS2212653	SRCD51C	feral	Amber Sciligo	2014	USA:CA: Riverside Co. San Jacinto Mnt. Idyllwild, Roadside corner Hwy 243 ad Marion Ridge Dr. next to Fire Station, replicate 5	Amber Sciligo	worker bee	San Jacinto Mountains	female	WGS	PRJNA385500	Invertebrate	UNIVERSITY OF CALIFORNIA DAVIS	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	2017-05-20	Apis mellifera	ILLUMINA	2018-06-01	SRP107650	adult	not applicable	whole body
100	SAMN06921445	SRX2838896	SRCD6B	6947	4904	SRR5580863	SRS2212589	SRCD6B	feral	Amber Sciligo	2014	USA:CA: LA Co. Placeria Cyn. Residential area 25227 Running Horse Rd., replicate 1	Amber Sciligo	worker bee	Residential Area	female	WGS	PRJNA385500	Invertebrate	UNIVERSITY OF CALIFORNIA DAVIS	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	2017-05-20	Apis mellifera	ILLUMINA	2018-06-01	SRP107650	adult	not applicable	whole body
100	SAMN06921444	SRX2838897	SRCD54A	5623	3463	SRR5580862	SRS2212590	SRCD54A	feral	Amber Sciligo	2014	USA:CA: LA Co. Placeria Cyn. about .5 miles past the nature center, replicate 3	Amber Sciligo	worker bee	Nature Center	female	WGS	PRJNA385500	Invertebrate	UNIVERSITY OF CALIFORNIA DAVIS	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	2017-05-20	Apis mellifera	ILLUMINA	2018-06-01	SRP107650	adult	not applicable	whole body
100	SAMN06921443	SRX2838898	SRCD11B	5890	4098	SRR5580861	SRS2212591	SRCD11B	feral	Amber Sciligo	2014	USA:CA: LA Co. Placeria Cyn. about .5 miles past the nature center, replicate 2	Amber Sciligo	worker bee	Nature Center	female	WGS	PRJNA385500	Invertebrate	UNIVERSITY OF CALIFORNIA DAVIS	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	2017-05-20	Apis mellifera	ILLUMINA	2018-06-01	SRP107650	adult	not applicable	whole body
100	SAMN06921442	SRX2838899	SRCD10C	6112	4130	SRR5580860	SRS2212593	SRCD10C	feral	Amber Sciligo	2014	USA:CA: LA Co. Placeria Cyn. about .5 miles past the nature center, replicate 1	Amber Sciligo	worker bee	Nature Center	female	WGS	PRJNA385500	Invertebrate	UNIVERSITY OF CALIFORNIA DAVIS	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	2017-05-20	Apis mellifera	ILLUMINA	2018-06-01	SRP107650	adult	not applicable	whole body
100	SAMN06921441	SRX2838900	AP84	5787	3775	SRR5580859	SRS2212592	SRCD53C	feral	Gary Drewin	1966	USA:CA: Humboldt Co., Blue lake, replicate 6	Gary Drewin	worker bee	Blue Lake	female	WGS	PRJNA385500	Invertebrate	UNIVERSITY OF CALIFORNIA DAVIS	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	2017-05-20	Apis mellifera	ILLUMINA	2018-06-01	SRP107650	adult	not applicable	whole body
100	SAMN06921440	SRX2838901	ap30_rep2	1551	997	SRR5580858	SRS2212594	SRCD52C	feral	Gary Drewin	1966	USA:CA: Humboldt Co., Blue lake, replicate 4A	Gary Drewin	worker bee	Blue Lake	female	WGS	PRJNA385500	Invertebrate	UNIVERSITY OF CALIFORNIA DAVIS	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	2017-05-20	Apis mellifera	ILLUMINA	2018-06-01	SRP107650	adult	not applicable	whole body
100	SAMN06921439	SRX2838902	ap29_rep2	1351	877	SRR5580857	SRS2212596	SRCD52B	feral	Gary Drewin	1966	USA:CA: Humboldt Co., Blue lake, replicate 3A	Gary Drewin	worker bee	Blue Lake	female	WGS	PRJNA385500	Invertebrate	UNIVERSITY OF CALIFORNIA DAVIS	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	2017-05-20	Apis mellifera	ILLUMINA	2018-06-01	SRP107650	adult	not applicable	whole body
100	SAMN06921438	SRX2838903	ap22_rep2	4531	3048	SRR5580856	SRS2212595	SRCD5B	feral	Gary Drewin	1966	USA:CA: Humboldt Co., Blue lake, replicate 2A	Gary Drewin	worker bee	Blue Lake	female	WGS	PRJNA385500	Invertebrate	UNIVERSITY OF CALIFORNIA DAVIS	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	2017-05-20	Apis mellifera	ILLUMINA	2018-06-01	SRP107650	adult	not applicable	whole body
100	SAMN06921437	SRX2838904	ap20_rep2	4734	3148	SRR5580855	SRS2212597	SRCD5A	feral	Gary Drewin	1966	USA:CA: Humboldt Co., Blue lake, replicate 1A	Gary Drewin	worker bee	Blue Lake	female	WGS	PRJNA385500	Invertebrate	UNIVERSITY OF CALIFORNIA DAVIS	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	2017-05-20	Apis mellifera	ILLUMINA	2018-06-01	SRP107650	adult	not applicable	whole body
100	SAMN06921436	SRX2838905	ap31_rep2	5568	3709	SRR5580854	SRS2212598	SRCD3A	feral	Gary Drewin	1966	USA:CA: Humboldt Co., Blue lake, replicate 5A	Gary Drewin	worker bee	Blue Lake	female	WGS	PRJNA385500	Invertebrate	UNIVERSITY OF CALIFORNIA DAVIS	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	2017-05-20	Apis mellifera	ILLUMINA	2018-06-01	SRP107650	adult	not applicable	whole body
100	SAMN06921505	SRX2838906	SRCD45B	5866	4018	SRR5580853	SRS2212599	SRCD45B	feral	Michael Mesler	2014	USA:CA:Humboldt County, Union Street, Arcata, California, replicate 5	Michael Mesler	worker bee	Arcata, Residential	female	WGS	PRJNA385500	Invertebrate	UNIVERSITY OF CALIFORNIA DAVIS	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	2017-05-20	Apis mellifera	ILLUMINA	2018-06-01	SRP107650	adult	not applicable	whole body
100	SAMN06921504	SRX2838907	SRCD45A	6339	4223	SRR5580852	SRS2212602	SRCD45A	feral	Michael Mesler	2014	USA:CA:Humboldt County, Union Street, Arcata, California, replicate 4	Michael Mesler	worker bee	Arcata, Residential	female	WGS	PRJNA385500	Invertebrate	UNIVERSITY OF CALIFORNIA DAVIS	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	2017-05-20	Apis mellifera	ILLUMINA	2018-06-01	SRP107650	adult	not applicable	whole body
